city,sku_code,sku_name,quantity,as_of_date
Guwahati,MWMMPCK.0005.AAAA.B0_N,MM Cake Box Bags (Printed),500,31-05-2026
Guwahati,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,1150,31-05-2026
Guwahati,MWMMPCK.0001.AAAA.B0_N,MM Kit Box,500,31-05-2026
Guwahati,MWMMPCK.0003.AAAA.B0_N,MM Mobile Box,650,31-05-2026
Guwahati,MWMMPCK.0008.AAAA.B0_N,MM Mobile Box Bags (Printed),0,31-05-2026
Guwahati,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,300,31-05-2026
Guwahati,MWMMPCK.0004.AAAA.B0_N,MM Sexual wellness Box,1800,31-05-2026
Guwahati,MWMMPCK.0009.AAAA.B0_N,MM medium (Gummies) Box,655,31-05-2026
Guwahati,OWNAPP.0002,OuterBox Pack of 1,0,31-05-2026
Guwahati,OWNAPP.0003,OuterBox Pack of 2,0,31-05-2026
Guwahati,POIGN44,Transparent Tape,4,31-05-2026
Guwahati,MWLJPCK.0008.B0_N,White Bulk Box Medium,300,31-05-2026
Guwahati,MWMMPCK.0010.AAAA.B0_N,White bulk box,700,31-05-2026
Hyderabad,MWBWPCK.0002.B0_N,BB Mobile Box,20400,31-05-2026
Hyderabad,MWBWPCK.0005.B0_N,BB medium (Gummies) Box,3525,31-05-2026
Hyderabad,MWBWPCK.0001.B0_N,BW Cake Box,750,31-05-2026
Hyderabad,MWBWPCK.0006.B0_N,BW Kit Box,1050,31-05-2026
Hyderabad,MWBWPCK.0003.B0_N,BW White cake box bag,3700,31-05-2026
Hyderabad,MWBWPCK.0004.B0_N,BW White mobile box bags,20900,31-05-2026
Hyderabad,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),31300,31-05-2026
Hyderabad,MWLJPCK.0001.B0_N,LJ Cake Box,2100,31-05-2026
Hyderabad,MWLJPCK.0006.B0_N,LJ Kit Box,800,31-05-2026
Hyderabad,MWLJPCK.0005.B0_N,LJ New Gummies 30's BOX,950,31-05-2026
Hyderabad,MWLJPCK.0002.B0_N,LJ medium (gummies) box,5500,31-05-2026
Hyderabad,MWMMPCK.0002.AAAA.B0_N,MM Cake Box,2700,31-05-2026
Hyderabad,MWMMPCK.0005.AAAA.B0_N,MM Cake Box Bags (Printed),8100,31-05-2026
Hyderabad,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,2500,31-05-2026
Hyderabad,MWMMPCK.0001.AAAA.B0_N,MM Kit Box,450,31-05-2026
Hyderabad,MWMMPCK.0003.AAAA.B0_N,MM Mobile Box,6300,31-05-2026
Hyderabad,MWMMPCK.0008.AAAA.B0_N,MM Mobile Box Bags (Printed),5200,31-05-2026
Hyderabad,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,7800,31-05-2026
Hyderabad,MWMMPCK.0004.AAAA.B0_N,MM Sexual wellness Box,2000,31-05-2026
Hyderabad,MWMMPCK.0009.AAAA.B0_N,MM medium (Gummies) Box,8350,31-05-2026
Hyderabad,OWNAPP.0002,OuterBox Pack of 1,0,31-05-2026
Hyderabad,OWNAPP.0003,OuterBox Pack of 2,0,31-05-2026
Hyderabad,POIGN44,Transparent Tape,35,31-05-2026
Hyderabad,MWLJPCK.0008.B0_N,White Bulk Box Medium,375,31-05-2026
Hyderabad,MWMMPCK.0010.AAAA.B0_N,White bulk box,630,31-05-2026
Kolkata,MWBWPCK.0002.B0_N,BB Mobile Box,13800,31-05-2026
Kolkata,MWBWPCK.0005.B0_N,BB medium (Gummies) Box,2000,31-05-2026
Kolkata,MWBWPCK.0001.B0_N,BW Cake Box,800,31-05-2026
Kolkata,MWBWPCK.0006.B0_N,BW Kit Box,250,31-05-2026
Kolkata,MWBWPCK.0003.B0_N,BW White cake box bag,7500,31-05-2026
Kolkata,MWBWPCK.0004.B0_N,BW White mobile box bags,24000,31-05-2026
Kolkata,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),16000,31-05-2026
Kolkata,MWLJPCK.0001.B0_N,LJ Cake Box,4700,31-05-2026
Kolkata,MWLJPCK.0006.B0_N,LJ Kit Box,1530,31-05-2026
Kolkata,MWLJPCK.0005.B0_N,LJ New Gummies 30's BOX,750,31-05-2026
Kolkata,MWLJPCK.0002.B0_N,LJ medium (gummies) box,12700,31-05-2026
Kolkata,MWMMPCK.0002.AAAA.B0_N,MM Cake Box,1700,31-05-2026
Kolkata,MWMMPCK.0005.AAAA.B0_N,MM Cake Box Bags (Printed),900,31-05-2026
Kolkata,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,2600,31-05-2026
Kolkata,MWMMPCK.0001.AAAA.B0_N,MM Kit Box,750,31-05-2026
Kolkata,MWMMPCK.0003.AAAA.B0_N,MM Mobile Box,5500,31-05-2026
Kolkata,MWMMPCK.0008.AAAA.B0_N,MM Mobile Box Bags (Printed),600,31-05-2026
Kolkata,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,1500,31-05-2026
Kolkata,MWMMPCK.0004.AAAA.B0_N,MM Sexual wellness Box,7800,31-05-2026
Kolkata,MWMMPCK.0009.AAAA.B0_N,MM medium (Gummies) Box,2100,31-05-2026
Kolkata,OWNAPP.0002,OuterBox Pack of 1,0,31-05-2026
Kolkata,OWNAPP.0003,OuterBox Pack of 2,0,31-05-2026
Kolkata,POIGN44,Transparent Tape,175,31-05-2026
Kolkata,MWLJPCK.0008.B0_N,White Bulk Box Medium,900,31-05-2026
Kolkata,MWMMPCK.0010.AAAA.B0_N,White bulk box,450,31-05-2026
Lucknow,MWBWPCK.0002.B0_N,BB Mobile Box,3900,31-05-2026
Lucknow,MWBWPCK.0005.B0_N,BB medium (Gummies) Box,1800,31-05-2026
Lucknow,MWBWPCK.0001.B0_N,BW Cake Box,1100,31-05-2026
Lucknow,MWBWPCK.0006.B0_N,BW Kit Box,1500,31-05-2026
Lucknow,MWBWPCK.0003.B0_N,BW White cake box bag,3500,31-05-2026
